Keely and His Discoveries,Clara Sophia Jessup Bloomfield Moore,56332
Ennen Aatamia,Jack London                                           ,56329
"The Poems of Madison Cawein, Vol. 4 of 5",Madison Cawein,56326
Sea Scouts Abroad,Percy F. Westerman                                ,56325
Motor Transports in War,Horace Wyatt                                ,56323
The Mary Frances Story Book,Jane Eayre Fryer,56322
A Tour Through South America,Archibald Stevenson Forrest    ,56321
Bobby in Movieland,Francis Finn,56319
"Wellington's Army, 1809-1814",Charles Oman,56318
The Campaign Round Liege,J. M. Kennedy,56316
Zigzag Journeys in the Camel Country,Samuel M. Zwemer,56314
The Book of the Ocean,Ernest Ingersoll,56311
The Undercurrent,Robert Grant,56310
When I was your age,Laura E. Richards                               ,56308
Living the Radiant Life,George Wharton James,56306
The Moon,James Nasmyth and James Carpenter,56305
"Agate Fossil Beds National Monument, Nebraska",the United States,56303
From Convent to Conflict,Sister Marie Antoine,56299
The Four Roads,Sheila Kaye-Smith,56298
A Boy of Old Japan,Robert Van Bergen,56297
Kultur in Cartoons,Louis Raemaekers                                 ,56292
Lao-can-you-ji-xu-pian,e liu,56291
Men and Measures,Edward Nicholson,56290
The Study of Astronomy,John Stedman,56289
North American Wild Flowers,Agnes FitzGibbon,56288
"Simplex Munditiis, Gentlemen",Mortimer de Lannoy,56287
Tudor school-boy life,Juan Luis Vives,56286
The Oyster,Eustace Clare Grenville Murray                           ,56285
The Legend of Kupirri,W. A. Cawthorne                               ,56284
Stories from the Operas,Gladys Davidson                             ,56280
The Origin and Development of Christian Dogma,Charles A. H. Tuthill,56279
Frank Merriwell's Endurance,Burt L. Standish,56278
Derelicts,James Sprunt,56277
I'r Aifft Ac Yn Ol,D. Rhagfyr Jones,56275
Municipal Housecleaning,William Parr Capes,56271
The Story of Noah's Ark,E. Boyd Smith                               ,56270
Cupid's Cyclopedia,Oliver Herford and John Cecil Clay,56269
Poetical Works of Robert Bridges,Robert Bridges,56266
Italian Fantasies,Israel Zangwill,56264
How to Be a Man,Harvey Newcomb,56263
When We Were Strolling Players in the East,Louise Jordan Miln,56262
"Journal of the American-Irish Historical Society, Vol. 1",Various   ,56261
Through Spain to the Sahara,Matilda Betham-Edwards                  ,56260
In the Line,Albertus T. Dudley                                      ,56259
All But Lost Vol 2 of 3,G. A. Henty,56255
The flowers and gardens of Japan,Florence Du Cane                   ,56254
Santa Claus' Message,E. Franklin Tregaskis                          ,56250
The Problem of Manflight,James Means,56249
Persian Literature,Elizabeth A. Reed,56248
Catty Atkins,Clarence Budington Kelland,56247
India and Indian Engineering,Julius George Medley                   ,56245
Sonnets and Poems,Eleanor Farjeon                                   ,56244
The Mikado Jewel,Fergus Hume,56243
The Gates of Dawn,Fergus Hume,56242
The Indian Bangle,Fergus Hume,56241
Deerfoot on the Prairies,Edward S. Ellis,56238
The Pink Shop,Fergus Hume,56237
Treasure Of The Seas,James De Mille,56236
Picked Up Adrift,James De Mille,56235
Fire In The Woods,James De Mille,56234
The Purple Fern,Fergus Hume,56233
The Amethyst Cross,Fergus Hume,56230
"The Young Wireless Operator, With the Oyster Fleet",Lewis E. Theiss,56229
Poems,Cora C. Bass,56228
The Bath Comedy,Agnes Castle and Egerton Castle,56227
Conrad in Quest of His Youth,Leonard Merrick,56226
Rooman keisareita marmorihahmossa,Viktor Rydberg,56224
"Oat Meal, The War Winner",James Ritchie Grieve,56223
Bertha's Christmas Vision: An Autumn Sheaf,Horatio Alger,56222
Backwater,Dorothy M. Richardson                                     ,56221
Following the Sun-Flag,John Fox,56218
"Rodney, the Overseer",Harry Castlemon,56216
The School Four,Albertus T. Dudley,56215
