title,author,number
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,151
Plato\'s Republic,Plato,150
The Lost Continent,Edgar Rice Burroughs,149
Common Sense,Thomas Paine,147
A Little Princess,Frances Hodgson Burnett,146
Middlemarch,George Eliot,145
The Voyage Out,Virginia Woolf,144
The Mayor of Casterbridge,Thomas Hardy,143
"The $30,000 Bequest and Other Stories",Mark Twain,142
Mansfield Park,Jane Austen,141
The Jungle,Upton Sinclair,140
The Lost World,Arthur Conan Doyle,139
"George Sand, Some Aspects of Her Life and Writings",Rene Doumic,138
Sara Crewe,Frances Hodgson Burnett,137
A Child\'s Garden of Verses,Robert Louis Stevenson,136
Les Miserables,Victor Hugo,135
Maria,Mary Wollstonecraft,134
The Damnation of Theron Ware,Harold Frederic,133
The Art of War,Sun Tzu [Tr.,NaN
The Pilgrim\'s Progress,John Bunyan,131
Orthodoxy,G. K. Chesterton,130
"The Square Root of Two to 5 Million Digits,                                129\r\","('Robert Nemiroff', 'Jerry Bonnell')",NaN
The Arabian Nights Entertainments,Andrew Lang,128
"Number ""e"" (Natural Log) to Approximately 1 Million Places,                127\r\","('Robert Nemiroff', 'Jerry Bonnell')",NaN
The Poison Belt,Arthur Conan Doyle,126
A Girl Of The Limberlost,Gene Stratton-Porter,125
Deuteronomical Books of the Bible,Anonymous,124
At the Earth\'s Core,Edgar Rice Burroughs,123
Return of the Native,Thomas Hardy,122
Northanger Abbey,Jane Austen,121
Treasure Island,Robert Louis Stevenson,120
A Tramp Abroad,Mark Twain,119
Big Dummy\'s Guide to the Internet,Electronic Frontier Foundation 118C,NaN
"Beethoven\'s Fifth Symphony, in C-minor, Opus #67,                          117C\r\",Ludwig van Beethoven,NaN
Motion Pictures of the Apollo 11 Lunar Landing,United States,116
"United States Census Figures back to 1630,                                 115\r\",the U. S. Bureau of the Census,NaN
Tenniel Illustrations for Alice in Wonderland,Sir John Tenniel,114
The Secret Garden,Frances Hodgson Burnett,113
Violists,Richard McGowan 112C,NaN
Freckles,Gene Stratton-Porter,111
Tess of the d\'Urbervilles,Thomas Hardy,110
Renascence and Other Poems,Edna St. Vincent Millay,109
The Return of Sherlock Holmes,Arthur Conan Doyle,108
Far from the Madding Crowd,Thomas Hardy,107
Jungle Tales of Tarzan,Edgar Rice Burroughs,106
Persuasion,Jane Austen,105
Around the World in 80 Days,Jules Verne,103
The Tragedy of Pudd\'nhead Wilson,Mark Twain,102
Hacker Crackdown,Bruce Sterling 101C,NaN
Collected Articles of Frederick Douglass,Frederick Douglass,99
A Tale of Two Cities,Charles Dickens,98
Flatland,Edwin A. Abbott,97
The Monster Men,Edgar Rice Burroughs,96
The Prisoner of Zenda,Anthony Hope,95
Alexander\'s Bridge and The Barrel Organ,"('Willa Cather', 'Alfred Noyes')",94
"Tom Sawyer, Detective",Mark Twain,93
Tarzan and the Jewels of Opar,Edgar Rice Burroughs,92
Tom Sawyer Abroad,Mark Twain,91
The Son of Tarzan,Edgar Rice Burroughs,90
"North American Free Trade Agreement, Oct. 7, 1992",Canada,89
Price/Cost Indexes from 1875 to 1989,The United States Government,88
"The World Factbook, 1993 Edition",the United States CIA,87
"A Connecticut Yankee in King Arthur\'s Court, Complete",Mark Twain,86
The Beasts of Tarzan,Edgar Rice Burroughs,85
Frankenstein,Mary Wollstonecraft (Godwin) Shelley,84
From the Earth to the Moon,Jules Verne,83
Ivanhoe,Walter Scott,82
The Return of Tarzan,Edgar Rice Burroughs,81
The Online World,Odd de Presno 80C,NaN
Terminal Compromise,Winn Schwartau 79C,NaN
Tarzan of the Apes,Edgar Rice Burroughs,78
The House of the Seven Gables,Nathaniel Hawthorne,77
Adventures of Huckleberry Finn,Mark Twain,76
Email 101,John E. Goodwin 75C,NaN
"The Adventures of Tom Sawyer, Complete",Mark Twain,74
The Red Badge of Courage,Stephen Carne,73
"Thuvia, Maid of Mars",Edgar Rice Burroughs,72
On the Duty of Civil Disobedience,Henry David Thoreau,71
What Is Man?,Mark Twain,70
The 32nd Mersenne Prime,David Slowinski,69
Warlord of Mars,Edgar Rice Burroughs,68
The Black Experience in America,Norman Coombs 67C,NaN
The Dawn of Amateur Radio in the U.K. and Greece,Norman F. Joly 66C,NaN
"The First 100,000 Prime Numbers",Unknown,65
The Gods of Mars,Edgar Rice Burroughs,64
"The Number ""e""",Unknown,63
A Princess of Mars,Edgar Rice Burroughs,62
The Communist Manifesto,"('Karl Marx', 'Friedrich Engels')",61
The Scarlet Pimpernel,Baroness Orczy,60
A Discourse on Method,René Descartes,59
Paradise Regained,John Milton,58
Aladdin and the Magic Lamp,Unknown,57
NREN For All: Insurmountable Opportunity,Jean Armour Polly 56C,NaN
The Wonderful Wizard of Oz,L. Frank Baum,55
The Marvellous Land of Oz,L. Frank Baum,54
LOC Workshop on Electronic Texts,The Library of Congress,53
The Square Root of 2,Stan Kerr,52
Anne Of The Island,Lucy Maud Montgomery,51
Pi,Scott Hemphill,50
Surfing the Internet,Jean Armour Polly 49C,NaN
"The World Factbook, 1992 Edition","the United States CIA,",48
Anne Of Avonlea,Lucy Maud Montgomery,47
"A Christmas Carol, A Ghost Story of Christmas",Charles Dickens,46
Anne Of Green Gables,Lucy Maud Montgomery,45
Song of the Lark,Willa Cather,44
The Strange Case Of Dr. Jekyll And Mr. Hyde,Robert Louis Stevenson,43
The Strange Case Of Dr. Jekyll And Mr. Hyde,Robert Louis Stevenson,42
The Legend of Sleepy Hollow,Washington Irving,41
Northwestnet NUSIRG Internet Guide,Jonathan Kochmer 40C,NaN
Hitchhiker\'s Guide to the Internet,Ed Krol 39C,NaN
"The Jargon File, Version 2.9.10, July 1, 1992",Various,38
"Census of Population and Housing, 1990,                                     37\r\",The United States Bureau of the Census,NaN
The War of the Worlds,H. G. Wells,36
The Time Machine,H. G. Wells,35
Zen and the Art of the Internet,Brendan P. Kehoe 34C,NaN
The Scarlet Letter,Nathaniel Hawthorne,33
Herland,Charlotte Perkins Stetson Gilman,32
The Oedipus Trilogy,Sophocles,31
"The Bible, King James Version, Complete",Various,30
"Census of Population and Housing, 1990,                                     29\r\",The United States Bureau of the Census,NaN
Aesop\'s Fables,Aesop,28
Far from the Madding Crowd,Thomas Hardy,27
Paradise Lost,John Milton,26
O Pioneers!,Willa Cather,24
The Narrative of the Life of Frederick Douglass,Frederick Douglass,23
Roget\'s Thesauru,Peter Mark Roget,22
Aesop\'s Fables,Aesop,21
Paradise Lost,John Milton,20
The Song Of Hiawatha,Henry W. Longfellow,19
Federalist Papers,"('Alexander Hamilton, John Jay,', 'James Madison')",18
The Book Of Mormon,Anonymous,17
Peter Pan,James M. Barrie 16C,NaN
M,"Dick,",NaN
The Hunting of the Snark,Lewis Carroll,13
Through the Looking-Glass,Lewis Carroll,12
Alice\'s Adventures in Wonderland,Lewis Carroll,11
The Bible,Both Testaments,NaN
"Lincoln\'s First Inaugural Address, March 4, 1861",Abraham Lincoln,9
"Lincoln\'s Second Inaugural Address, March 4, 1865",Abraham Lincoln,8
Give Me Liberty Or Give Me Death,Patrick Henry,6
Lincoln\'s Gettysburg Address,given November,19
John F. Kennedy\'s Inaugural Address,January,20
The Ten Original Amendments to the Constitution of the United States         2\r\n Passe,"Congress September 25,",1789
"The Declaration of Independence of the United States of America,             1\r\",Thomas Jefferson,NaN
The Story of the Volsungs,Anonymous,1152
The Nibelungenlied,Unknown,1151
"The Danish History, Books 1 through 9",Saxo Grammaticus,1150
From London to Land\'s End,Daniel Defoe,1149
"The Itinerary of Archibishop Baldwin through Wales,                       1148\r\",Giraldus Cambrensis,NaN
From This World to the Next,Henry Fielding,1147
Journal of A Voyage to Lisbon,Henry Fielding,1146
Rupert of Hentzau,Anthony Hope,1145
In the Cage,Henry James,1144
Notes on Life and Letters,Joseph Conrad,1143
Typhoon,Joseph Conrad,1142
Latter-Day Pamphlets,Thomas Carlyle,1140
Fisherman\'s Luck,Henry van Dyke,1139
The Research Magnificent,H. G. Wells,1138
A Lover\'s Complaint,William Shakespeare 1137C,NaN
King Henry VIII,William Shakespeare 1136C,NaN
The Tempest,William Shakespeare 1135C,NaN
The Winter\'s Tale,William Shakespeare 1134C,NaN
Cymbeline,William Shakespeare 1133C,NaN
The Life of Timon of Athens,William Shakespeare 1132C,NaN
The Tragedy of Coriolanus,William Shakespeare 1131C,NaN
Antony and Cleopatra,William Shakespeare 1130C,NaN
Macbeth,William Shakespeare 1129C,NaN
King Lear,William Shakespeare 1128C,NaN
"Othello, The Moor of Venice",William Shakespeare 1127C,NaN
Measure for Measure,William Shakespeare 1126C,NaN
All\'s Well that End\'s Well,William Shakespeare 1125C,NaN
History of Troilus and Cressida,William Shakespeare 1124C,NaN
Twelfth Night; or What You Will,William Shakespeare 1123C,NaN
"Hamlet, Prince of Denmark",William Shakespeare 1122C,NaN
As You Like It,William Shakespeare 1121C,NaN
Julius Caesar,William Shakespeare 1120C,NaN
King Henry V,William Shakespeare 1119C,NaN
Much Ado about Nothing,William Shakespeare 1118C,NaN
"King Henry IV, Part 2",William Shakespeare 1117C,NaN
The Merry Wives of Windsor,William Shakespeare 1116C,NaN
"King Henry IV, Part 1",William Shakespeare 1115C,NaN
The Merchant of Venice,William Shakespeare 1114C,NaN
A Midsummer Night\'s Dream,William Shakespeare 1113C,NaN
Romeo and Juliet,William Shakespeare 1112C,NaN
King Richard II,William Shakespeare 1111C,NaN
King John,William Shakespeare 1110C,NaN
Love\'s Labour\'s Lost,William Shakespeare 1109C,NaN
Two Gentlemen of Verona,William Shakespeare 1108C,NaN
The Taming of the Shrew,William Shakespeare 1107C,NaN
Titus Andronicus,William Shakespeare 1106C,NaN
The Shakespearian Sonnets,William Shakespeare 1105C,NaN
The Comedy of Errors,William Shakespeare 1104C,NaN
King Richard III,William Shakespeare\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 1103C,NaN
"King Henry the Sixth, Part 3",William Shakespeare 1102C,NaN
"King Henry the Sixth, Part 2",William Shakespeare 1101C,NaN
"King Henry the Sixth, Part 1",William Shakespeare 1100C,NaN
The Riverman,Stewart Edward White,1099
"The Turmoil, A Novel",Booth Tarkington,1098
Mrs. Warren\'s Profession,George Bernard Shaw,1097
The Faith of Men,Jack London,1096
The Light of Western Stars,Zane Grey,1095
"Tamburlaine the Great, Part I",Christopher Marlowe,1094
The Beast in the Jungle,Henry James,1093
The Description of Wales,Geraldus Cambrensis,1092
Heroes and Hero Worship,Thomas Carlyle,1091
The Bickerstaff-Partridge Papers,Jonathan Swift,1090
Moon-Face and Other Stories,Jack London,1089
Rolf In The Woods,Ernest Thompson Seton,1088
Baartock,Lewis Roth 1087C,NaN
A Horse\'s Tale,Mark Twain,1086
The Life of John Sterling,Thomas Carlyle,1085
Recipes Tried and True,Pres,NaN
The Arrow of Gold,Joseph Conrad,1083
Voyage of The Paper Canoe,Nathaniel H. Bishop,1082
Dead Souls,Nikolai Vasilievich Gogol,1081
A Modest Proposal,Jonathan Swift,1080
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1079
The Scouts of the Valley,Joseph A. Altsheler,1078
The Mirror of Kong Ho,Ernest Bramah,1077
The Wallet of Kai Lung,Ernest Bramah,1076
The Strength of the Strong,Jack London,1075
The Sea Wolf,Jack London,1074
Nana and Other Stories,Emile Zola,1069
Personal Memoirs of U. S. Grant,Vol. 2,1068
Personal Memoirs of U. S. Grant,Vol. 1,1067
William the Conqueror,Edward Augustus Freeman,1066
The Cask of Amontillado,Edgar Allan Poe,1065
The Masque of the Red Death,Edgar Allan Poe,1064
The Raven,Edgar Allan Poe,1063
Myths and Myth-Makers,John Fiske,1061
Grass of Parnassus,Andrew Lang,1060
The World Set Free,H. G. Wells,1059
The Mirror of the Sea,Joseph Conrad,1058
Poems,Oscar Wilde,1057
Martin Eden,Jack London,1056
Twixt Land & Sea,Joseph Conrad,1055
A Collection of Ballads,Andrew Lang,1054
Within The Tides,Joseph Conrad,1053
Ste,"Step, or, Tidy\'s Way to Freedom,",NaN
Sartor Resartus,Thomas Carlyle,1051
Dark Lady of the Sonnets,George Bernard Shaw,1050
Vanished Arizona,Martha Summerhayes,1049
The Ruling Passion,Henry van Dyke,1048
The New Machiavelli,H. G. Wells,1047
God The Invisible King,H. G. Wells,1046
Venus and Adonis,William Shakespeare,1045
Extract from Captain Stormfield\'s Visit to Heaven,Mark Twain,1044
The Story of Evolution,Joseph McCabe,1043
A Reading of Life,George Meredith,1042
Shakespeare\'s Sonnets,William Shakespeare,1041
The Three Taverns,Edwin Arlington Robinson,1040
Missionary Travels and Researches in South Africa,David Livingstone,1039
Style,Walter Raleigh,1038
The Life of John Bunyan,Edmund Venables,1037
Joe Wilson and His Mates,Henry Lawson,1036
The Man Against the Sky,Edwin Arlington Robinson,1035
Poems,Wilfred Owen,1034
Rose O\' the River,Kate Douglas Wiggin,1033
The Pupil,Henry James,1032
Charmides and Other Poems,Oscar Wilde,1031
The Cavalier Songs and Ballads of England,Various,1030
The Night-Born,Jack London,1029
The Professor,Currer Bell,1028
The Lone Star Ranger,Zane Grey,1027
Diary of a Nobody,"('George', 'Weedon Grossmith')",1026
"Essays, Vol. 1",Benjamin Rumford,1025
The Wrecker,"('Robert Louis Stevenson', 'Lloyd Osbourne')",1024
Bleak House,Charles Dickens,1023
Walking,Henry David Thoreau,1022
The Congo and Other Poems,Vachel Lindsay,1021
Sword Blades and Poppy Seed,Amy Lowell,1020
Poems,"('Currer, Ellis,', 'Acton Bell')",1019
The Water-Babie,Charles Kingsley,1018
The Soul of Man Under Socialism,Oscar Wilde,1017
On the Improvement of the Understanding,Baruch Spinoza,1016
The Oregon Trail,"Francis Parkman, Jr.",1015
The Lure of the Dim Trails,B. M. Bower,1014
The First Men In The Moon,H. G. Wells,1013
La Divina Commedia di Dante,completare,NaN
La Divina Commedia di Dante: Paradiso,di Dante Alighieri,1011
La Divina Commedia di Dante: Purgatorio,di Dante Alighieri,1010
La Divina Commedia di Dante: Inferno,di Dante Alighieri,1009
"Divine Comedy, Complete",Dante Alighieri,1008
"Divine Comedy, Paradise",Dante Alighieri,1007
"Divine Comedy, Purgatory",Dante Alighieri,1006
"Divine Comedy, Hell",Dante Alighieri,1005
"Divine Comedy, Complete",Dante Alighieri,1004
"Divine Comedy, Paradise",Dante Alighieri,1003
"Divine Comedy, Purgatory",Dante Alighieri,1002
"Divine Comedy, Inferno",Dante Alighieri,1001
La Divina Commedia di Dante,completare,NaN
Divina Commedia di Dante: Paradiso,di Dante Alighieri,999
Divina Commedia di Dante: Purgatorio,di Dante Alighieri,998
Divina Commedia di Dante: Inferno,di Dante Alighieri,997
Don Quixote,Miqeul de Cervantes Saavedra,996
Ballads of a Bohemian,Robert W. Service,995
Riders to the Sea,J. M. Synge,994
Malbone: An Oldport Romance,Thomas W. Higginson,993
"A Theological-Political Treatise, Part 4",Benedict of Spinoza,992
"A Theological-Political Treatise, Part 3",Benedict of Spinoza,991
"A Theological-Political Treatise, Part 2",Benedict of Spinoza,990
"A Theological-Political Treatise, Part 1",Benedict of Spinoza,989
The Education of the Child,Ellen Key,988
Popular Science Monthly,Oct,NaN
Master and Man,Leo Tolstoy,986
Father Sergius,Leo Tolstoy,985
Who Was Who: 5000 B. C. to Date,"Anonymous,",984
"Tour through the Eastern Counties of England, 1722",Daniel Defoe,983
Book of Nonsense,Edward Lear,982
Beowulf,Anonymous,981
Alice Adams,Booth Tarkington,980
Heroes of the Telegraph,J. Munro,979
The Yates Pride,Mary E. Wilkins Freeman,978
American Notes,Rudyard Kipling,977
Tanglewood Tales,Nathaniel Hawthorne,976
"The Ethics, Part 5",Benedict de Spinoza,975
The Secret Agent,Joseph Conrad,974
Howard Pyle\'s Book of Pirates,Howard Pyle,973
The Devil\'s Dictionary,Ambrose Bierce,972
"The Ethics, Part 4",Benedict de Spinoza,971
Uncle Josh\'s Punkin Centre Stories,Cal Stewart,970
The Tenant of Wildfell Hall,Anne Bronte,969
Life And Adventures Of Martin Chuzzlewit,Charles Dickens,968
The Life And Adventures Of Nicholas Nickl,",",NaN
Maid Marian,Thomas Love Peacock,966
The Black Tulip,Alexandre Dumas (Pere),965
The Merry Adventures of Robin Hood,Howard Pyle,964
Little Dorrit,Charles Dickens,963
The Poems of Henry Kendall,Henry Kendall,962
Glinda of Oz,L. Frank Baum,961
The Tin Woodman of Oz,Baum,960
The Lost Princess of Oz,Baum,959
Rinkitink In Oz,L. Frank Baum,958
The Scarecrow of Oz,L. Frank Baum,957
Tik-Tok of Oz,L. Frank Baum,956
The Patchwork Girl of Oz,L. Frank Baum,955
Tom Swift and his War Tank,Victor Appleton,954
Tom Swift and his Big Tunnel,Victor Appleton,953
Tom Swift and his Air Glider,Victor Appleton,952
Tom Swift and his Sky Racer,Victor Appleton,951
Tom Swift and his Electric Runabout,Victor Appleton,950
Tom Swift and his Submarine Boat,Victor Appleton,949
"The Ethics, Part 3",Benedict de Spinoza,948
The Life of Horatio Lord Nelson,Robert Southey,947
Lady Susan,Jane Austen,946
Dust,"('Mr.', 'Mrs. Haldeman-Julius')",945
The Voyage of the Beagle,Charles Darwin,944
Misalliance,George Bernard Shaw,943
