title,author,number
My Antonia,Willa Cather,242
Clotelle,William Wells Brown,241
Stories From the Old Attic,Robert Harris 240C,NaN
Radar Map of the United States,the U. S. Government,239
Dear Enemy,Jean Webster,238
Sexti Properti Carmina,Sextus Propertius,237
The Jungle Book,Rudyard Kipling,236
William Gibson Interviewed,Giuseppe Salza 235C,NaN
Child Christopher,William Morris,234
Sister Carrie,Theodore Dreiser,233
The Georgics,Virgil,232
The Georgics,Virgil,231
The Bucolics and Eclogues,Virgil,230
The Bucolics and Eclogues,Virgil,229
The Aeneid,Virgil,228
The Aeneid,Virgil,227
Cicero\'s Orations,Cicero,226
At the Back of the North Wind,George MacDonald,225
A Pair of Blue Eyes,Thomas Hardy,224
The Wisdom of Father Brown,G. K. Chesterton,223
The Moon and Sixpence,W. Somerset Maugham,222
The Return of Sherlock Holmes,Arthur Conan Doyle 221B,NaN
The Secret Sharer,Joseph Conrad,220
Heart of Darkness,Joseph Conrad,219
"Caesar\'s Commentaries in Latin, Books 1-4",Julius Caesar,218
Sons and Lovers,David Herbert Lawrence,217
Tao Teh King,Lao-Tze,216
The Call of the Wild,Jack London,215
In the Days When the World Was Wide and Other Verses,Henry Lawson,214
The Man from Snowy River,Andrew Barton \'Banjo\' Paterson,213
A List of Factorial Math Constants,Unknown,212
The Aspern Papers,Henry James,211
An International Episode,Henry James,210
The Turn of the Screw,Henry James,209
Daisy Miller,Henry James,208
The Spell of the Yukon,Robert Service,207
"The Martin Luther King, Jr. Day, 1995, Memorial Issue",Various,206
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,205
The Innocence of Father Brown,G. K. Chesterton,204
Uncle Tom\'s Cabin,Harriet Beecher Stowe,203
My Bondage and My Freedom,Frederick Douglass,202
Flatland: A Romance of Many Dimensions (Illustrated),Edwin A. Abbot,201
"The Project Gutenberg Gutenberg Encyclopedia, Vol. 1,                      200\r\",Project Gutenberg,NaN
The Project Gutenberg RST Manual,Marcello Perathoner,181
1994 CIA World Factbook,United States Central Intelligence Agency,180
The Europeans,Henry James,179
Confidence,Henry James,178
The American,Henry James,177
Roderick Hudson,Henry James,176
The Phantom of the Opera,Gaston Leroux,175
The Picture of Dorian Gray,Oscar Wilde,174
The Insidious Dr. Fu-Manchu,Sax Rohmer,173
The Haunted Bookshop,Christopher Morley,172
Charlotte Temple,Susanna Rowson,171
The Haunted Hotel,Wilkie Collins,170
The Well at the World\'s End,William Morris,169
History and Practice of the Art of Photography,Henry H. Snelling,168
American Handbook of the Daguerrotype,Samuel D. Humphrey,167
Summer,Edith Wharton,166
McTeague,Frank Norris,165
Twenty Thousand Leagues under the Sea,Jules Verne,164
Flower Fables,Louisa May Alcott,163
Take Me for a Ride,Mark E. Laxer 162C,NaN
Sense and Sensibility,Jane Austen,161
The Awakening and Selected Short Stories,Kate Chopin,160
The Island of Doctor Moreau,H. G. Wells,159
Emma,Jane Austen,158
Daddy-Long-Legs,Jean Webster,157
"Beethoven\'s Fifth Symphony, in C-minor, Opus #67,                          156C\r\",Ludwig van Beethoven,NaN
The Moonstone,Wilkie Collins,155
The Rise of Silas Lapham,William Dean Howells,154
Jude the Obscure,Thomas Hardy,153
Wild Justice,Ruth M. Sprague 152C,NaN
